PCA1,PCA2
-0.5829550282000173,-0.5567354451600685
-0.5503025106828141,-0.6133813895867286
-0.4996123313825447,-0.36032573244162414
-0.5354652395038978,-0.6265473269172974
-0.6050740195392301,-0.5312873815430658
-0.23937906103468934,-0.6936142429397251
-0.3897947151323173,-0.6939484468750056
-0.316673421029981,-0.6654686460932402
-0.4186543163546471,-0.6288196976129177
-0.4142120027300105,-0.6563450650092306
-0.33055424703147823,-0.6608202835146406
-0.325114504226027,-0.5440376322022157
-0.49027355746147144,-0.626054676691465
-0.568957537688905,-0.5911123319395382
-0.7246573379262897,-0.33857334431668895
-0.7013029436898987,-0.41016023949962716
-0.4249783712209804,-0.6089827165364193
-0.23942108333606454,-0.6862979464178903
-0.32391659711039217,-0.6183463809735602
-0.4467717259489708,-0.6024067382177827
-0.37311962879096766,-0.5517224077770148
-0.35054874819598564,-0.46936249133609687
-0.5872191491202939,-0.5294573969687094
-0.41045889970006716,-0.7113970491914818
-0.5555351071685908,-0.689236557173278
-0.4350963950762468,-0.7228525989794674
-0.15281748992000255,-0.6049698588085628
-0.6943610623655521,-0.5348057794932264
-0.6553540609944476,-0.6298095574554913
-0.7410602835553111,-0.553904852797528
-0.8490094019308454,-0.3922200818124427
-0.7915671155490208,-0.3805467643311308
-0.7457906076897263,-0.02114619897312054
-0.8775585940250291,-0.15189735785248343
-0.7934831607233598,-0.15153862987113878
-0.7828251329600765,-0.13575133191139996
-0.7813455278834173,-0.07244579709110342
-0.7041352515206107,-0.22966362108248922
-0.7848906765057396,-0.17104886770233563
-0.7669398301501462,-0.09445683661961407
-0.8350118199279791,-0.04638349017500261
-0.9304816379627829,-0.006660316893824214
-0.940069966181147,-0.023062029639777215
-0.9383269714683707,-0.011603116522327898
-0.93249694257267,-0.06483027963770517
-0.9027306255917128,-0.1963141030880968
-0.9087904166985205,-0.17117449650396613
-0.9409122190289074,-0.10113555888878309
-0.9304065960089484,-0.09878142150309194
-0.9384599371788354,-0.10289629709936157
-0.9348581520906134,-0.12613042317653866
-0.7763365915074772,-0.22816333567163777
-0.7135417133922585,-0.21308561191763406
-0.5766540080339301,-0.4500570988330898
-0.8400801108590934,-0.29060564926653104
-0.8905431557266101,-0.21228366990533115
-0.10021889420501363,-0.04715456277382471
0.19912252741120928,-0.018458498961276264
0.2613016414142378,-0.24025731301643682
-0.13226112571161291,-0.6341652855293494
-0.0861605346513513,-0.6099166460919437
0.08308120463004591,-0.4742744612486987
0.021660248725649745,-0.15069920734785883
-0.025698931107270437,-0.09477729547076988
-0.08103861291334469,-0.1325732927296384
-0.25180302841112073,-0.03191822566280997
-0.12175611328139385,-0.29477599859492803
-0.4023275797784216,-0.41366762230987164
-0.5722611261772166,-0.37267479020811345
-0.8304375973396835,-0.20946581349270554
-0.6343803522128425,-0.4004102713588797
-0.5769498841446752,-0.39015241977762155
-0.8989597205917206,-0.15619056356823693
-0.8985495025901062,-0.15070991550914625
-0.8813595178887336,-0.13299010128972807
-0.8997324407430312,-0.07247406099637031
-0.8669501847108072,-0.11678022173003838
-0.8374129819215301,-0.1255131898746147
-0.786000578966505,-0.11882236434813898
-0.8507530526032121,-0.14051944716551912
-0.8720304564757406,-0.05981495605690679
-0.8581462543270103,0.030871254351084995
-0.8779254685839998,-0.03737663074573916
-0.8746504999735639,-0.020659060793142833
-0.8705315835070873,0.057425562022090954
-0.9078357398389805,-0.06046123299881141
-0.9076983665883909,-0.023767331421478285
-0.8275624966023525,-0.02998906564719223
-0.8314532934900878,-0.10410593962635124
-0.785793849100126,-0.24788174944744473
-0.8862390922571081,-0.2801254263194832
-0.9308144923595045,-0.18558071555527908
-0.9352039880964887,-0.14515057504452808
-0.9292522894037784,-0.17337479695472272
-0.9305354281643443,-0.19169556066161839
-0.9322005194885182,-0.17319612235145543
-0.9255798084729183,-0.15264545940559748
-0.9254796857409342,-0.1268020466474815
-0.9199991410249152,-0.1543995965831636
-0.9201347130340761,-0.18811451951491479
-0.9265024708053345,-0.20443339268516378
-0.927552553867354,-0.15647223898422544
-0.9323531425945724,-0.12198678028570806
-0.8550266387208866,-0.25088670408128905
-0.1890078039884397,-0.6266240582578398
0.24242021344059703,0.30383286666310955
0.21004710205013358,0.2404253880789093
0.3778257864032589,0.2720806275675356
0.584211872203731,0.32628828221943346
0.483186527823478,0.17488521841456983
0.49381312994473636,0.29776270400171706
0.5730974229199846,0.32848099680945336
0.5061871865240364,0.3633435021627424
0.6379766716008336,0.25915255190391284
0.6415439288598203,0.18266630082625127
0.6831417559638804,0.23018405856878407
0.624765171173904,0.25487515762963675
0.5387349891589981,0.3502059813032004
0.6206453745557131,0.3491340416202163
0.4801612553913699,0.48718839136597175
0.6483599249753009,0.4851574210902427
0.41336576384481083,0.6655530553419694
0.40706550906081773,0.6371720322300182
0.5619158288579869,0.5329136999835948
0.710424097986466,0.286156151904804
0.717603766624478,0.23476083766208644
0.6764267936961039,0.24499622292865703
0.6620441438182358,0.2694063010393612
0.7205297030217941,0.11169921736169433
0.6901265687193937,0.015438727109194085
0.6743137884679998,-0.003467827640005809
0.6271471286586878,0.12180151112873742
0.6662602076073039,0.215900649693996
0.7232109886537258,0.21785651096704745
0.7038871770295774,0.30292895079570975
0.6556871727978631,0.11919422502211371
0.5281644703998712,-0.11056612301443898
-0.4168965536741441,-0.4597047222831124
-0.30917123369848626,-0.6917816053749714
-0.12337723000556135,-0.7160111499608923
0.11020495454697034,-0.7556744919105569
0.34991072944183044,-0.5426487963546829
0.40306655439135997,-0.5953236631521851
0.2280629827145593,-0.4608043700190343
0.11325214512727277,-0.580178043815626
-0.3235424099305631,-0.667096142307842
-0.20885075113423168,-0.6795676751829537
-0.42544639233460285,-0.7339572415684921
-0.3854601944535607,-0.755136712495331
-0.40341430306805176,-0.735347303470714
-0.3750503162154501,-0.7603326555352758
-0.3085323007838346,-0.7915994456261456
-0.28154738113865385,-0.7211758650798376
0.012973006065449488,-0.6977895807246672
-0.19067839907349382,-0.6660243311320826
