PCA1,PCA2
-0.5198861982917292,-0.22077154603593502
-0.48819895696487997,-0.39185919642769584
-0.6244328237005362,-0.2714678528862673
-0.6204916524933428,-0.21604644525098624
-0.5850626068345695,-0.23847122027467432
-0.5875934874485371,-0.35019056609449994
-0.5565438426275402,-0.17300785109463776
-0.6702258389371626,-0.11290805789916149
-0.619022731180664,-0.1656246778527881
-0.42054825706189103,-0.30510415587916134
-0.5236534664471774,-0.3149090800183502
-0.5462992966149924,-0.29532795922880484
-0.5589173721102281,-0.35387911434147984
-0.5755668347343262,-0.32138229135314517
-0.537105956666739,-0.4010548880327712
-0.3831567704396178,-0.38538554620004467
-0.27727543181026626,-0.5257532435559065
-0.3383555129982392,-0.5681813116664866
-0.6057300649575028,-0.3076659414160315
-0.6027152463175415,-0.34995850780864296
-0.6616105294942547,-0.35829180257112025
-0.7133198003477884,-0.27438956769493833
-0.668986204134016,-0.34831627670802684
-0.5463638295595096,-0.498622101309331
-0.43797818480456774,-0.4800347256439768
-0.3928163593769719,-0.5820544384714021
-0.41108486087414975,-0.5611978762169495
-0.5347372043321855,-0.4085882014942959
-0.5513667018855152,-0.3104596573324482
-0.586932900821876,-0.31734826193874704
-0.5257498148127618,-0.401081111067611
-0.4657257031317166,-0.36840041225880427
-0.3985590225056686,-0.4893707479505325
-0.3238465390816417,-0.5482734431966656
-0.5167260328576083,-0.4134564198248057
-0.5042141982390297,-0.3646837506113881
-0.42935694319415335,-0.42734537250940563
-0.1824805378813701,-0.5332159816494827
-0.24150576883454378,-0.6298504055816809
-0.49608385954878514,-0.48442094220408943
-0.39629559942953124,-0.5276773702166379
-0.4602873479717116,-0.437524221221117
-0.4601843206777927,-0.41116467994111794
-0.44386317055641966,-0.461424975729152
-0.36534477537434057,-0.46421732623898565
-0.24449497960567684,-0.5112054507344749
-0.26123721511231696,-0.4892301795160597
-0.27329476080077,-0.48551146241963666
-0.39287812920395715,-0.3606876359150656
-0.4416555053319202,-0.4996417509482947
-0.5543554215381183,-0.3973775050374078
-0.5311686414416461,-0.39840566771018526
-0.42087991671850794,-0.3450670062215714
-0.6459264379861189,-0.35513613445126946
-0.5372978083574951,-0.48749367153791295
-0.4715184001704524,-0.4160859312644464
-0.444474943396291,-0.44717236988785597
-0.5479922427044852,-0.3511599620576551
-0.6587108053301914,-0.31046987442179685
-0.5739288392930658,-0.4129378035529424
-0.5896513080846373,-0.3514900724918081
-0.5337700606491699,-0.4381743529519154
-0.44211636297350226,-0.5296706109489661
-0.6150979324258862,-0.42878288753643995
-0.5584475477453223,-0.44446583926938604
-0.355141515227199,-0.41037331115835
-0.2465176663163695,-0.38422381710723175
-0.3044352950546251,-0.4652210133420089
-0.2889393545672571,-0.568700083302661
-0.30134529243259645,-0.586126914115134
-0.46312706526820696,-0.580812983883789
-0.5233459388446344,-0.47376161953346846
-0.5642707114777401,-0.5397857607535204
-0.502429988110655,-0.5144191602277413
-0.5529981084560088,-0.4350269335510912
-0.6639277975504972,-0.33097849844922816
-0.5090391932627463,-0.39212039818985306
-0.23480168576368524,-0.39635276486686133
-0.3231559897087364,-0.35054329321371624
-0.5324786495690231,-0.35064649373134865
-0.495751852656422,-0.2609875206658318
-0.4679328824247261,-0.3830646236786033
-0.342769356815694,-0.4012621984586513
-0.46969075089170237,-0.3257482813692073
-0.6162769672391536,-0.28977220065325926
-0.40532528488931147,-0.39763483658202625
-0.3051215482876316,-0.5269441933523441
-0.5825235618295346,-0.38137329680637266
-0.6120802587934236,-0.23721561504771352
-0.5850203110062743,-0.2939385624055034
-0.5357324724043964,-0.4310609977099124
-0.627042627058552,-0.4493396708558539
