Probability,Volume
0.0,325.0
0.0,375.0
0.00012508443199159432,425.0
0.000725489705551247,475.0
0.002576739299026843,525.0
0.008906011557801515,575.0
0.023215670577639905,625.0
0.04337928101468491,675.0
0.06366797588372151,725.0
0.07630150351487254,775.0
0.0832812148200035,825.0
0.0893853351011933,875.0
0.09176193930903359,925.0
0.09253746278738148,975.0
0.08318114727441023,1025.0
0.07244890300953144,1075.0
0.057789007580116576,1125.0
0.04898306356790834,1175.0
0.04060240662447152,1225.0
0.033172391364170814,1275.0
0.026567933355014634,1325.0
0.02136442098416431,1375.0
0.01566057088534761,1425.0
0.010632176719285518,1475.0
0.0062041878267830785,1525.0
0.003902634278137743,1575.0
0.002401621094238611,1625.0
0.0012258274335176244,1675.0
